n_have_shirked,n_have_shirked_or_neg_NPV,n_first_best_closures,n_capital_requirements_closure,n_first_best_balanced_closures_under_shock,n_first_best_prudent_closures_under_shock,n_capital_requirements_balanced_closures_under_shock,n_capital_requirements_prudent_closures_under_shock,realized_outcome,n_have_shirked_post_shock,n_have_shirked_or_neg_NPV_post_shock,n_first_best_closures_post_shock,n_capital_requirements_closures_post_shock
12,14,8,0,5,19,0,0,light,10,19,17,2
15,23,14,0,7,19,0,0,light,12,18,18,2
16,24,10,1,12,25,0,0,light,16,19,24,0
19,29,14,0,13,26,0,0,light,12,19,24,1
10,13,5,0,9,23,0,0,light,9,19,16,1
20,25,16,0,11,23,0,0,light,9,27,24,4
14,17,9,0,12,24,0,0,light,10,16,18,1
10,17,7,0,10,21,0,0,light,9,15,18,1
17,27,13,1,7,18,0,0,severe,20,53,24,3
13,20,8,1,6,23,0,0,severe,15,46,16,2
18,25,12,0,8,22,0,0,light,7,14,13,1
19,27,12,0,12,22,0,0,severe,21,45,24,2
12,18,9,0,11,23,0,0,severe,24,59,26,4
18,19,9,1,9,20,0,0,light,7,21,19,1
17,26,10,1,15,31,0,0,light,17,25,28,1
24,30,16,0,11,24,0,0,light,11,23,25,4
18,23,14,0,8,23,0,0,light,10,20,17,1
12,19,9,0,9,15,0,0,severe,17,54,18,2
12,18,9,0,9,25,0,0,light,10,22,18,1
13,19,6,0,6,12,0,0,light,4,12,17,0
10,15,7,0,5,17,0,0,severe,20,50,21,0
10,17,8,0,6,11,0,0,light,9,11,12,0
11,16,6,1,5,16,0,0,severe,15,41,17,1
9,14,6,0,8,17,0,0,light,8,16,15,1
14,22,7,0,10,24,0,0,severe,23,72,28,1
16,22,11,0,9,13,0,0,light,14,15,15,4
12,13,6,0,6,17,0,0,light,8,13,15,0
11,16,10,0,8,23,0,0,light,11,19,19,2
19,26,13,0,9,26,0,0,light,9,27,29,2
18,22,12,0,13,25,0,0,light,11,24,19,1
14,22,10,0,5,20,0,0,light,8,16,18,3
17,22,10,0,10,23,0,0,light,10,18,18,1
19,22,14,0,8,14,0,0,light,10,16,20,4
21,26,16,0,6,19,0,0,severe,15,51,16,3
16,20,6,0,8,22,0,0,light,10,15,18,0
13,19,10,0,8,23,0,0,severe,17,46,17,1
13,24,9,0,8,26,0,0,light,8,18,21,2
14,22,7,0,10,21,0,0,light,9,15,18,1
22,28,11,0,11,30,0,0,light,12,25,29,2
17,20,10,0,8,23,0,0,light,10,21,17,2
16,21,12,0,9,22,0,0,light,8,15,16,2
12,23,8,0,5,14,0,0,light,6,12,8,1
17,25,14,0,11,23,0,0,light,9,17,16,3
19,30,14,0,12,17,0,0,light,11,12,17,3
15,19,11,1,12,23,0,0,light,10,24,19,0
8,15,7,1,6,20,0,0,light,6,17,14,1
15,19,10,0,11,21,0,0,severe,22,50,25,5
14,19,12,0,10,21,0,0,light,11,20,17,2
20,25,14,1,6,24,0,0,light,8,20,20,3
15,20,11,0,10,20,0,0,light,7,17,15,1
12,17,9,0,11,21,0,1,light,10,20,20,2
14,18,10,0,7,13,0,0,light,5,13,11,3
18,21,11,0,6,12,0,0,light,6,11,11,1
15,18,10,0,12,23,0,0,light,9,18,14,0
10,16,8,0,10,20,0,0,light,9,20,18,0
10,20,9,0,10,26,1,1,light,9,22,17,3
18,24,12,0,8,22,0,0,light,11,20,20,1
7,16,5,0,7,13,0,0,light,9,12,12,1
11,16,8,0,8,24,0,0,light,15,28,25,0
22,25,13,0,7,19,0,0,light,7,14,14,3
21,28,13,0,9,24,0,0,severe,13,49,20,4
11,18,8,1,9,24,0,0,severe,21,52,22,0
13,20,6,0,7,22,0,0,light,7,16,17,1
18,22,13,0,10,20,0,0,light,10,15,17,1
12,19,6,0,8,23,0,0,light,6,18,18,1
16,24,8,0,9,18,0,0,light,7,12,15,1
18,24,15,0,3,17,0,0,severe,17,58,19,3
14,21,3,0,14,29,0,0,light,8,19,22,1
16,21,12,0,16,24,0,0,light,16,16,23,2
21,23,14,0,11,22,0,0,severe,22,49,26,4
17,21,10,0,10,21,0,0,light,8,14,16,2
13,19,10,0,9,16,0,0,light,5,12,11,1
12,21,7,0,10,21,0,0,light,12,18,20,2
18,27,15,0,8,24,0,0,light,14,24,25,1
17,19,11,0,6,15,0,0,light,5,11,9,2
14,15,8,0,7,15,0,0,severe,13,54,16,3
15,21,10,0,9,18,0,0,light,9,16,16,1
20,23,9,2,11,29,0,0,light,9,25,27,0
19,26,14,0,8,20,0,0,light,7,13,17,0
25,31,17,0,8,18,0,0,light,4,18,19,0
24,27,14,0,12,20,0,0,light,9,13,17,1
17,25,10,0,9,23,0,0,light,11,22,19,2
12,17,8,0,7,18,0,0,light,6,23,14,1
15,24,13,0,10,22,0,0,light,13,19,20,0
15,20,7,0,10,24,0,0,light,8,18,20,1
21,31,14,0,7,23,0,0,light,16,20,28,4
14,19,8,0,4,13,0,0,severe,11,50,15,3
13,18,8,0,7,20,0,0,light,7,15,20,0
14,22,10,0,9,22,0,0,light,12,20,21,1
21,27,13,0,8,18,0,0,light,4,12,16,2
13,18,9,0,8,14,0,0,light,5,13,14,2
20,25,15,0,12,20,0,0,light,9,11,17,3
10,15,9,0,3,15,0,0,light,7,14,13,0
15,20,12,0,6,20,0,0,light,5,15,15,3
8,14,7,0,7,20,0,0,light,8,17,15,2
17,23,13,1,14,27,0,0,light,10,23,21,0
19,27,8,1,8,22,0,0,severe,15,46,20,0
12,17,7,0,9,26,0,0,light,12,19,18,1
14,22,11,1,5,16,0,0,light,4,17,16,3
15,23,11,2,7,18,0,0,light,6,13,15,0
11,13,7,0,7,17,0,0,light,8,21,17,0
10,19,6,0,12,27,0,0,light,12,18,23,0
13,18,11,0,5,22,0,0,light,8,23,17,1
13,19,9,0,8,18,0,0,light,7,13,14,2
8,13,7,0,11,23,0,0,severe,24,52,24,2
16,28,16,0,11,23,0,0,light,15,26,26,3
17,24,14,0,12,35,0,0,severe,23,59,28,5
13,20,10,0,7,23,0,0,severe,18,53,20,5
19,30,12,1,14,25,0,0,light,17,17,25,2
14,23,12,0,11,27,0,0,severe,21,57,22,3
